team,team_code,association,rank,previous_rank,points,previous_points
Brazil,BRA,CONMEBOL,1,1,1841.3,1837.56
Belgium,BEL,UEFA,2,2,1816.71,1821.92
Argentina,ARG,CONMEBOL,3,3,1773.88,1770.65
France,FRA,UEFA,4,4,1759.78,1764.85
England,ENG,UEFA,5,5,1728.47,1737.46
Italy,ITA,UEFA,6,7,1726.14,1713.86
Spain,ESP,UEFA,7,6,1715.22,1716.93
Netherlands,NED,UEFA,8,8,1694.51,1679.41
Portugal,POR,UEFA,9,9,1676.56,1678.65
Denmark,DEN,UEFA,10,10,1666.57,1665.47
Germany,GER,UEFA,11,11,1650.21,1658.96
Croatia,CRO,UEFA,12,15,1645.64,1632.15
Mexico,MEX,CONCACAF,13,12,1644.89,1649.57
Uruguay,URU,CONMEBOL,14,13,1638.71,1640.95
Switzerland,SUI,UEFA,15,16,1635.92,1621.43
USA,USA,CONCACAF,16,14,1627.48,1635.01
Colombia,COL,CONMEBOL,17,17,1611.04,1604.07
Senegal,SEN,CAF,18,18,1584.38,1584.59
Wales,WAL,UEFA,19,19,1569.82,1582.13
IR Iran,IRN,AFC,20,22,1564.61,1558.64
Serbia,SRB,UEFA,21,25,1563.62,1549.53
Morocco,MAR,CAF,22,23,1563.5,1558.35
Peru,PER,CONMEBOL,23,21,1561.01,1562.24
Japan,JPN,AFC,24,24,1559.54,1554.69
Sweden,SWE,UEFA,25,20,1553.33,1563.44
Poland,POL,UEFA,26,26,1548.59,1546.18
Ukraine,UKR,UEFA,27,27,1536.99,1542.79
Korea Republic,KOR,AFC,28,28,1530.3,1526.02
Chile,CHI,CONMEBOL,29,29,1509.61,1514.86
Tunisia,TUN,CAF,30,30,1507.54,1507.86
Costa Rica,CRC,CONCACAF,31,34,1503.59,1500.06
Nigeria,NGA,CAF,32,31,1498.47,1504.7
Russia,RUS,UEFA,33,35,1496.11,1493.42
Austria,AUT,UEFA,34,33,1492.95,1502.47
Czechia,CZE,UEFA,35,32,1492.21,1502.9
Hungary,HUN,UEFA,36,37,1492.2,1486.76
Algeria,ALG,CAF,37,41,1489.1,1480.59
Australia,AUS,AFC,38,39,1488.72,1483.73
Egypt,EGY,CAF,39,40,1486.44,1482.63
Scotland,SCO,UEFA,40,45,1479.53,1462.96
Canada,CAN,CONCACAF,41,43,1475.0,1473.82
Norway,NOR,UEFA,42,36,1473.04,1488.57
Cameroon,CMR,CAF,43,38,1471.44,1484.95
Ecuador,ECU,CONMEBOL,44,44,1464.39,1463.74
Türkiye,TUR,UEFA,45,42,1460.14,1475.13
Mali,MLI,CAF,46,46,1448.85,1442.88
Paraguay,PAR,CONMEBOL,47,50,1448.77,1440.13
Côte d'Ivoire,CIV,CAF,48,52,1443.06,1435.91
Republic of Ireland,IRL,UEFA,49,47,1440.19,1442.48
Qatar,QAT,AFC,50,48,1439.89,1441.97
Saudi Arabia,KSA,AFC,51,53,1437.78,1435.74
Greece,GRE,UEFA,52,49,1437.6,1441.45
Romania,ROU,UEFA,53,54,1434.68,1427.84
Burkina Faso,BFA,CAF,54,55,1432.25,1425.64
Slovakia,SVK,UEFA,55,51,1425.59,1439.99
Finland,FIN,UEFA,56,59,1405.6,1398.41
Venezuela,VEN,CONMEBOL,57,56,1404.37,1405.17
Bosnia and Herzegovina,BIH,UEFA,58,57,1403.51,1403.98
Northern Ireland,NIR,UEFA,59,58,1396.55,1399.1
Panama,PAN,CONCACAF,60,61,1393.28,1389.27
Ghana,GHA,CAF,61,60,1393.0,1393.47
Iceland,ISL,UEFA,62,63,1384.41,1379.61
Slovenia,SVN,UEFA,63,65,1384.04,1372.48
Jamaica,JAM,CONCACAF,64,62,1378.86,1382.06
North Macedonia,MKD,UEFA,65,64,1358.51,1375.2
Albania,ALB,UEFA,66,66,1354.11,1361.81
South Africa,RSA,CAF,67,68,1349.59,1350.55
Iraq,IRQ,AFC,68,70,1343.01,1338.91
Montenegro,MNE,UEFA,69,67,1341.03,1354.59
United Arab Emirates,UAE,AFC,70,69,1337.57,1346.09
Cabo Verde,CPV,CAF,71,73,1336.05,1331.46
Bulgaria,BUL,UEFA,72,74,1335.36,1325.16
Congo DR,COD,CAF,73,72,1333.92,1332.84
El Salvador,SLV,CONCACAF,74,71,1330.51,1333.48
Oman,OMA,AFC,75,75,1320.29,1323.03
Israel,ISR,UEFA,76,76,1316.55,1316.35
Uzbekistan,UZB,AFC,77,77,1309.98,1306.63
Georgia,GEO,UEFA,78,82,1307.34,1296.46
China PR,CHN,AFC,79,78,1305.06,1305.06
Honduras,HON,CONCACAF,80,80,1301.98,1299.69
Gabon,GAB,CAF,81,79,1301.84,1301.84
Bolivia,BOL,CONMEBOL,82,81,1296.28,1298.81
Guinea,GUI,CAF,83,83,1290.47,1294.89
Jordan,JOR,AFC,84,86,1289.99,1279.74
Bahrain,BHR,AFC,85,85,1280.64,1289.25
Curaçao,CUW,CONCACAF,86,84,1278.64,1293.35
Haiti,HAI,CONCACAF,87,88,1269.07,1269.07
Zambia,ZAM,CAF,88,87,1267.41,1270.8
Uganda,UGA,CAF,89,90,1260.69,1264.56
Syria,SYR,AFC,90,89,1255.92,1265.03
Benin,BEN,CAF,91,91,1247.47,1258.71
Luxembourg,LUX,UEFA,92,93,1243.8,1235.36
Armenia,ARM,UEFA,93,92,1233.93,1242.42
Palestine,PLE,AFC,94,94,1233.72,1233.72
Kyrgyz Republic,KGZ,AFC,95,95,1230.22,1232.91
Vietnam,VIE,AFC,96,97,1226.65,1218.84
Belarus,BLR,UEFA,97,96,1221.06,1226.55
Equatorial Guinea,EQG,CAF,98,98,1215.66,1215.33
Lebanon,LBN,AFC,99,100,1211.71,1211.71
Congo,CGO,CAF,100,99,1208.79,1215.09
Kenya,KEN,CAF,101,102,1202.26,1202.26
Madagascar,MAD,CAF,102,105,1200.74,1193.78
Mauritania,MTN,CAF,103,107,1197.58,1181.86
Trinidad and Tobago,TRI,CONCACAF,104,101,1195.29,1205.85
New Zealand,NZL,OFC,105,103,1193.98,1198.96
India,IND,AFC,106,104,1192.09,1198.65
Kosovo,KOS,UEFA,107,106,1187.01,1183.9
Tajikistan,TJK,AFC,108,109,1185.7,1179.1
Estonia,EST,UEFA,109,110,1184.64,1177.4
Cyprus,CYP,UEFA,110,108,1183.82,1180.52
Thailand,THA,AFC,111,111,1174.92,1170.69
Korea DPR,PRK,AFC,112,112,1169.96,1169.96
Kazakhstan,KAZ,UEFA,113,114,1166.63,1166.28
Mozambique,MOZ,CAF,114,116,1165.22,1165.41
Namibia,NAM,CAF,115,117,1164.13,1164.13
Guinea-Bissau,GNB,CAF,116,115,1160.71,1165.53
Sierra Leone,SLE,CAF,117,113,1160.31,1169.71
Guatemala,GUA,CONCACAF,118,118,1156.7,1161.96
Angola,ANG,CAF,119,120,1155.9,1149.08
Libya,LBY,CAF,120,121,1154.25,1148.36
Niger,NIG,CAF,121,119,1152.8,1155.23
Faroe Islands,FRO,UEFA,122,125,1147.17,1136.29
Azerbaijan,AZE,UEFA,123,128,1146.72,1127.17
Malawi,MWI,CAF,124,122,1144.97,1144.77
Zimbabwe,ZIM,CAF,125,123,1138.56,1138.56
The Gambia,GAM,CAF,126,124,1137.47,1137.47
Togo,TOG,CAF,127,126,1128.92,1130.22
Sudan,SDN,CAF,128,130,1127.34,1124.91
Comoros,COM,CAF,129,127,1123.18,1127.44
Tanzania,TAN,CAF,130,131,1119.89,1121.91
Antigua and Barbuda,ATG,CONCACAF,131,132,1117.01,1117.01
Central African Republic,CTA,CAF,132,133,1116.97,1116.06
Philippines,PHI,AFC,133,134,1115.13,1115.13
Latvia,LVA,UEFA,134,129,1114.21,1125.36
Turkmenistan,TKM,AFC,135,135,1100.47,1100.47
Solomon Islands,SOL,OFC,136,137,1095.7,1092.56
Rwanda,RWA,CAF,137,136,1093.66,1095.04
Ethiopia,ETH,CAF,138,138,1091.19,1088.27
Suriname,SUR,CONCACAF,139,143,1077.3,1072.24
St Kitts and Nevis,SKN,CONCACAF,140,140,1076.91,1076.91
Burundi,BDI,CAF,141,141,1076.26,1076.26
Nicaragua,NCA,CONCACAF,142,139,1071.83,1079.18
Eswatini,SWZ,CAF,143,144,1070.89,1070.89
Lithuania,LTU,UEFA,144,142,1069.75,1074.08
Hong Kong,HKG,AFC,145,147,1062.39,1058.37
Malaysia,MAS,AFC,146,148,1062.32,1057.59
Lesotho,LES,CAF,147,145,1061.4,1061.4
Botswana,BOT,CAF,148,146,1056.46,1060.17
Kuwait,KUW,AFC,149,149,1053.41,1053.41
Liberia,LBR,CAF,150,150,1049.66,1051.25
Andorra,AND,UEFA,151,152,1035.2,1028.7
Indonesia,IDN,AFC,152,155,1033.9,1019.19
Dominican Republic,DOM,CONCACAF,153,151,1031.86,1031.86
Maldives,MDV,AFC,154,156,1026.09,1018.25
Yemen,YEM,AFC,155,153,1023.52,1023.52
Afghanistan,AFG,AFC,156,154,1023.04,1023.04
Chinese Taipei,TPE,AFC,157,157,1017.78,1017.78
Myanmar,MYA,AFC,158,158,1007.89,1011.91
Papua New Guinea,PNG,OFC,159,161,1007.46,997.6
Singapore,SGP,AFC,160,159,1003.5,1004.75
New Caledonia,NCL,OFC,161,160,995.58,999.7
Tahiti,TAH,OFC,162,162,995.11,995.11
Fiji,FIJ,OFC,163,163,989.43,993.37
Vanuatu,VAN,OFC,164,164,985.62,990.55
South Sudan,SSD,CAF,165,165,983.99,983.99
Barbados,BRB,CONCACAF,166,166,982.27,982.27
Cuba,CUB,CONCACAF,167,167,978.65,978.65
Malta,MLT,UEFA,168,169,977.92,974.68
Bermuda,BER,CONCACAF,169,168,977.47,977.47
Puerto Rico,PUR,CONCACAF,170,170,974.32,974.32
